arousalScore,trueArousal
0.8007,1.0000
-0.3121,-1.0000
0.9673,-1.0000
-0.4433,-1.0000
-0.5604,-1.0000
1.0000,1.0000
0.2959,-1.0000
-0.7936,-1.0000
1.0000,1.0000
0.9557,1.0000
-0.7930,-1.0000
0.0118,-1.0000
-0.1841,-1.0000
1.0000,1.0000
0.3995,-1.0000
0.9186,1.0000
-0.9365,-1.0000
-0.5048,-1.0000
-0.7545,-1.0000
0.9557,1.0000
0.7014,1.0000
-0.6964,-1.0000
0.6851,-1.0000
-0.7961,-1.0000
-0.5646,-1.0000
-0.7072,-1.0000
-0.6673,-1.0000
-0.6090,-1.0000
-0.1165,1.0000
0.8714,1.0000
0.6507,1.0000
-0.7322,-1.0000
-0.5413,-1.0000
-0.7631,-1.0000
-0.1871,-1.0000
0.9108,1.0000
-0.2789,-1.0000
1.0000,1.0000
-0.2152,-1.0000
0.9689,1.0000
0.5858,-1.0000
1.0000,1.0000
0.8920,1.0000
0.1244,1.0000
0.8449,1.0000
-0.6854,-1.0000
0.0184,-1.0000
0.3753,1.0000
-0.4431,-1.0000
1.0000,1.0000
0.8671,1.0000
-0.1769,-1.0000
0.2958,-1.0000
0.8911,1.0000
0.0968,1.0000
1.0000,1.0000
-0.6473,-1.0000
-0.6304,-1.0000
-0.1279,-1.0000
-0.7411,-1.0000
0.7940,-1.0000
-0.3482,-1.0000
-0.7852,-1.0000
0.4728,1.0000
-0.5003,-1.0000
1.0000,1.0000
0.9356,1.0000
0.8414,1.0000
0.9029,-1.0000
0.6588,1.0000
-0.5159,-1.0000
-0.3996,-1.0000
-0.6951,-1.0000
0.8667,1.0000
0.9779,1.0000
0.6191,1.0000
-0.8050,-1.0000
0.6638,1.0000
0.2529,1.0000
-0.7521,-1.0000
-0.0140,1.0000
0.0086,-1.0000
0.4386,-1.0000
0.9256,1.0000
0.9225,1.0000
0.1111,-1.0000
0.8911,1.0000
0.4873,-1.0000
0.8476,1.0000
-0.6625,-1.0000
0.8671,1.0000
0.9557,1.0000
-0.2887,-1.0000
-0.5958,-1.0000
0.9455,1.0000
-0.7962,-1.0000
0.7069,1.0000
0.1722,-1.0000
-0.0612,-1.0000
-0.8803,-1.0000
-0.9238,-1.0000
0.6618,1.0000
-0.6636,-1.0000
-0.6745,-1.0000
0.7624,1.0000
0.2411,-1.0000
-0.8893,-1.0000
0.7698,1.0000
