arousalScore,trueArousal
0.4240,3.0000
0.7900,4.0000
0.9825,4.0000
0.6837,3.5000
0.5691,3.5000
0.6362,3.0000
0.6330,4.0000
0.3335,3.5000
0.8649,3.0000
0.4283,3.0000
0.3039,4.5000
0.4597,3.0000
0.7936,3.5000
0.9921,4.0000
0.9666,3.5000
0.9635,5.0000
-0.3398,3.5000
-0.6994,3.0000
0.1179,3.0000
0.8682,4.0000
0.6255,3.5000
0.1600,3.5000
0.2964,4.0000
0.5921,3.5000
-0.4266,2.0000
-0.5968,3.0000
0.4358,4.0000
0.8235,3.0000
0.5748,4.0000
0.2512,3.0000
0.7076,4.0000
-0.4702,2.5000
-0.3843,3.0000
0.2535,3.5000
0.2583,4.0000
0.7389,3.0000
-0.6178,2.0000
0.9635,4.5000
-0.5847,2.0000
0.4775,3.5000
-0.1145,3.0000
-0.3831,2.5000
0.0293,3.5000
-0.3225,2.5000
0.5310,3.0000
-0.8328,2.5000
-0.6980,2.5000
-0.1662,3.0000
-0.5212,2.5000
0.6949,4.0000
-0.2240,2.0000
-0.4955,3.0000
0.1894,4.0000
-0.2865,3.5000
-0.1328,2.5000
0.2796,3.0000
0.9825,4.0000
0.4900,3.0000
-0.6799,2.5000
-0.3576,3.5000
-0.2861,3.0000
0.5567,4.0000
0.2258,2.5000
0.4923,4.0000
-0.3258,3.0000
-0.5116,3.5000
0.5537,3.5000
-0.2596,3.5000
0.0465,3.5000
-0.2039,3.5000
0.1997,2.5000
-0.5669,2.5000
-0.3877,2.0000
0.2265,4.0000
-0.3992,3.0000
-0.2928,3.5000
0.1492,3.5000
0.8999,4.0000
0.8918,3.5000
0.4474,3.5000
0.6258,2.5000
0.1782,4.0000
-0.0886,3.0000
0.3610,3.5000
0.1576,3.5000
0.3069,4.0000
0.8396,4.0000
0.9555,4.0000
-0.0299,3.0000
0.6950,4.0000
0.4403,4.0000
0.7420,4.0000
-0.2051,2.5000
-0.1958,3.0000
0.9349,4.0000
-0.3384,2.5000
0.8500,4.0000
-0.2211,3.5000
0.3630,3.5000
-0.6859,3.0000
0.7296,4.0000
0.1466,3.5000
0.8169,3.5000
-0.6873,2.5000
0.4142,3.5000
-0.0709,2.5000
0.2611,3.0000
-0.5316,3.0000
-0.2216,3.0000
-0.9230,2.0000
0.5476,4.0000
0.5911,3.5000
-0.9134,2.0000
0.0890,3.0000
0.0760,3.0000
0.0843,3.5000
-0.1065,3.5000
0.4319,3.5000
-0.4952,3.0000
-0.7587,2.0000
0.8961,3.5000
0.1635,4.0000
0.4866,3.0000
0.4988,4.0000
0.8587,4.0000
-0.6988,2.5000
-0.7545,3.0000
-0.8126,3.0000
-0.5478,3.5000
-0.8572,2.5000
0.3522,2.5000
-0.9086,2.0000
0.6803,4.0000
0.9254,4.0000
0.5538,3.5000
0.6797,3.5000
-0.4157,4.0000
-0.1063,4.0000
0.4362,4.0000
0.7821,3.5000
0.5843,3.0000
-0.0437,2.5000
0.6676,3.5000
0.6828,4.0000
-0.4063,2.5000
0.1457,3.0000
-0.3801,3.5000
0.4563,3.5000
0.1992,3.5000
0.8105,3.5000
-0.6866,3.5000
0.9151,3.5000
-0.6967,2.0000
-0.0280,3.0000
-0.2118,2.0000
-0.5521,2.0000
0.7430,3.0000
0.6294,3.0000
-0.6466,2.0000
0.9254,4.0000
-0.2006,2.5000
-0.0134,3.5000
0.0240,3.0000
-0.2439,3.0000
0.3863,3.0000
-0.1411,3.0000
-0.8103,2.5000
-0.9103,2.0000
0.6817,2.5000
-0.8745,4.0000
-0.4108,3.0000
0.9444,3.5000
0.1558,3.0000
0.4582,2.5000
0.0970,3.0000
0.1214,3.5000
0.5388,3.0000
0.2508,3.0000
0.6976,3.5000
-0.4478,3.5000
-0.2312,2.0000
-0.2511,4.0000
0.1551,3.0000
0.3728,3.0000
-0.5759,2.5000
0.9181,3.5000
-0.2127,3.5000
-0.2353,3.0000
0.8502,3.0000
0.8609,3.0000
-0.5090,3.0000
0.2924,2.5000
-0.0129,3.0000
0.9820,4.0000
0.5972,3.5000
0.0268,2.5000
0.5079,3.0000
0.2037,3.0000
0.0365,4.0000
-0.2595,2.0000
