arousalScore,trueArousal
-0.3051,-0.0258
1.0000,0.7362
0.3896,0.1747
0.3896,0.4095
-0.6949,-0.4418
0.5423,0.6825
-0.3051,-0.1796
0.5425,0.3876
-0.5425,-0.3170
-0.3476,-0.4013
0.5420,0.7737
-0.2374,-0.1458
0.2372,-0.2059
-0.0003,0.2389
-0.1952,-0.1964
-0.6949,-0.1789
0.3898,0.7991
-0.1949,-0.0248
-0.0848,-0.0909
0.3896,-0.2343
-0.3051,0.2351
-0.5425,-0.3703
0.3901,-0.1076
-0.3476,0.2714
0.0848,0.8864
0.5423,0.4493
-0.5000,-0.2932
0.5420,0.6263
0.1952,-0.1447
0.3898,0.9143
0.3896,0.5974
0.0000,-0.2679
-0.0425,-0.0544
0.6949,0.9415
-0.3476,-0.1809
0.6949,0.6218
-0.1952,0.0854
-0.3476,-0.2071
-0.5003,-0.2716
-0.3476,-0.1726
0.6949,0.0291
0.8051,0.0204
-0.5425,-0.2104
0.6716,0.7387
0.3261,0.2946
-0.3307,0.2253
-1.0000,-0.4437
-0.8358,-0.3565
-1.0000,-0.3243
-0.8332,-0.2986
-0.5000,-0.1831
0.0000,0.1154
-1.0000,-0.2975
0.1665,0.4433
0.5074,0.6156
0.3332,0.3466
0.8358,0.8279
-1.0000,-0.4342
-1.0000,-0.4119
-1.0000,-0.2991
0.8332,0.6188
-1.0000,-0.3586
0.5026,0.5583
0.5048,0.5902
-0.1665,0.2081
1.0000,0.8818
0.8310,0.1759
0.6690,0.1495
0.8358,0.6748
0.8332,0.5322
0.8358,0.7370
0.6668,0.6191
-1.0000,-0.5050
0.8358,0.7374
-1.0000,-0.3602
1.0000,0.4116
-1.0000,-0.5961
-1.0000,-0.4108
0.5000,0.5250
1.0000,0.9420
-1.0000,-0.3187
-1.0000,-0.3460
-1.0000,-0.4387
0.6668,0.5308
0.3332,0.2603
-0.9169,-0.4388
-0.4546,-0.2660
-0.0895,-0.2050
-0.2481,-0.1492
-0.6650,-0.1482
0.0416,0.2892
-0.0377,-0.2124
0.6688,0.1755
-0.3689,-0.2145
-0.9169,-0.2150
-0.4962,-0.0903
-0.6272,-0.0616
-0.9169,-0.6010
0.6272,-0.0030
0.6688,0.1811
-0.9169,0.1099
-0.4962,-0.2393
0.2481,0.0972
-0.4962,-0.2315
0.7481,0.0524
0.9169,0.1152
0.4207,-0.2127
-0.9169,-0.2701
0.2104,0.2341
-0.8753,-0.2351
-0.1586,-0.1251
0.9584,0.6495
0.4962,0.0826
0.2481,0.0805
-0.4584,0.0278
0.0000,-0.2579
-0.7065,-0.1236
0.0831,-0.0251
-0.2858,-0.1000
-0.4546,-0.3348
0.9169,0.4068
0.6688,-0.0592
-0.4962,-0.3649
-0.4962,-0.3134
0.9169,0.3193
-0.4546,-0.0936
0.0831,-0.1570
-0.8753,-0.0656
0.6765,0.0557
-0.0642,-0.0652
-0.0312,0.3216
0.5000,-0.0940
-0.6453,-0.0939
0.1783,0.1743
0.3235,0.2576
0.6765,0.2879
-0.3565,-0.3655
-0.1453,0.0295
0.1453,0.2324
0.6783,0.6756
0.6453,0.5054
0.7095,0.5031
0.5312,0.3231
0.0330,-0.2045
0.6765,0.5241
0.5018,0.2946
-0.1783,-0.1853
-0.5000,-0.2035
0.8217,0.7340
0.6783,0.8534
-0.5018,-0.3335
-0.1783,-0.2459
-0.6783,-0.6686
0.3235,0.2965
-0.5000,0.1813
0.1471,0.5298
-0.6783,-0.2743
-0.3877,-0.2779
1.0000,0.9074
-0.6783,-0.1558
0.3547,0.2651
0.5330,0.0239
-0.2112,0.1825
0.8547,0.8199
0.1530,-0.2129
0.4464,-0.1183
0.2003,-0.1019
0.7066,-0.0373
0.0379,0.1446
0.4779,-0.1517
-0.4779,-0.3216
0.7066,-0.2049
0.7066,-0.1182
1.0000,0.1732
-0.3533,-0.3236
-0.0158,-0.2355
0.0158,-0.2148
-0.6624,-0.2715
-0.5221,-0.2133
-0.1403,-0.1505
0.7066,0.4672
-0.6467,-0.3578
0.4133,0.2076
-1.0000,-0.3392
-0.8155,-0.2652
0.4779,0.0801
0.4133,0.1725
-0.5221,-0.3813
-0.8155,-0.3565
0.0063,0.0801
0.7066,0.4677
0.5379,0.2619
0.8312,0.2316
-0.6845,-0.3818
-0.3091,-0.3045
-0.0600,-0.0066
-0.4779,-0.2726
-0.5158,-0.2720
-0.6467,-0.2375
0.2066,-0.0695
0.1467,-0.0345
-0.8155,-0.3309
0.2445,0.1803
1.0000,0.2024
-0.0458,0.1106
1.0000,0.0883
-0.3784,-0.1921
-0.3931,-0.2814
0.4542,0.1349
-1.0000,-0.4176
-0.0156,-0.0021
-0.3346,-0.0628
0.2267,0.1091
0.6673,0.1172
0.1362,0.2283
-0.3931,-0.1561
0.4542,0.3495
-0.2267,-0.2175
0.5156,-0.0635
-0.1060,-0.4181
-0.1965,0.0801
-0.6517,-0.3041
0.1216,0.0859
-0.3346,0.1989
0.1371,0.2009
-0.3784,-0.3215
1.0000,0.2643
-0.5156,-0.3204
1.0000,-0.0272
1.0000,0.2349
-1.0000,-0.3325
0.3337,-0.0020
-0.3931,-0.1841
-0.3181,0.0566
-0.8337,-0.4495
0.4542,0.1727
1.0000,0.1797
0.3753,0.6155
-0.6323,-0.1807
-0.0218,0.2959
-0.4266,-0.1225
0.1915,0.3219
-1.0000,-0.3402
-1.0000,-0.3287
-1.0000,-0.3285
0.1105,0.3424
0.4484,-0.0999
-0.2057,-0.1027
0.3161,0.2312
-0.6915,-0.1884
0.4782,0.5252
-1.0000,-0.4488
-1.0000,-0.2121
0.3677,-0.0364
0.3753,0.6233
-0.1544,-0.3095
-0.7943,-0.2652
-1.0000,-0.1845
0.6839,0.7019
-0.3677,-0.1844
-0.3161,0.0928
0.3753,0.3764
0.3753,0.2360
0.3753,0.5893
-0.1028,-0.2044
0.5000,0.0287
-0.0218,0.1830
-0.3456,0.2083
0.4782,0.7042
0.1684,0.1658
-1.0000,-0.6341
-0.3282,-0.0654
0.5119,0.0778
0.3249,0.4687
0.8402,0.7677
0.1598,-0.2046
0.6718,0.2949
0.4967,0.2319
0.6632,0.4715
0.8402,0.7078
-1.0000,-0.3344
-1.0000,-0.4888
0.8402,0.6771
-1.0000,-0.5787
0.3316,0.0903
-0.5086,-0.1877
-0.6803,-0.2796
0.8402,0.6218
0.4847,0.0862
1.0000,0.2296
-0.1837,-0.2818
-0.5205,-0.4220
-0.0153,-0.0934
1.0000,0.6788
0.5033,0.2712
0.4967,0.2072
-0.6803,-0.4190
0.4967,0.3749
1.0000,0.4116
-0.3368,-0.3572
-1.0000,-0.5396
1.0000,0.7064
0.5000,0.1740
-0.5543,-0.1225
-0.7029,-0.1546
-0.7029,-0.1493
-0.4057,-0.1198
0.6635,0.3548
0.1635,0.0068
0.8120,0.4415
-0.7029,0.1491
-0.7029,0.1722
0.6635,0.7366
1.0000,0.6804
-0.5245,0.1761
-0.0095,-0.0022
0.5149,0.4408
0.4851,-0.0276
1.0000,0.3588
0.1581,-0.0569
1.0000,0.5890
-0.3461,-0.0940
0.8120,0.8230
0.1581,0.1169
1.0000,0.8556
-1.0000,-0.1144
0.0394,0.0501
0.3610,-0.0102
-0.7060,-0.3242
0.7930,0.6146
0.5680,0.7326
-0.7241,-0.2689
-0.7930,-0.3295
-0.9310,-0.2713
0.7930,0.4074
-0.9310,-0.1874
0.7241,0.4059
-0.9310,-0.3327
-0.1189,0.5871
-0.4810,-0.2459
0.3630,0.1108
0.1869,-0.1227
0.7250,-0.1246
0.7930,0.7366
0.7930,0.7661
-1.0000,-0.4737
-0.2559,-0.3586
0.7940,0.5262
-0.4810,-0.3878
-0.7930,-0.3599
-0.9310,0.4932
0.7930,0.7099
-0.2750,-0.1230
0.4990,-0.2138
-0.5199,-0.2120
0.8363,0.5329
0.1295,0.4408
0.1870,-0.1493
0.0144,-0.2301
-0.5199,-0.2340
0.4801,-0.0597
-0.8363,-0.1493
-0.5253,-0.0710
1.0000,0.4955
0.5144,0.0545
0.0000,-0.1500
0.6781,0.2597
-0.3418,-0.0096
-0.5199,-0.1849
0.6726,0.1422
0.1240,0.4075
-0.6836,-0.5746
-0.5199,-0.3571
0.3473,-0.0094
-0.1979,0.3744
0.5199,0.1137
-0.8363,-0.1770
-1.0000,-0.4538
0.5139,0.4076
-0.3397,-0.4193
-0.6881,-0.4228
0.5182,-0.0380
-1.0000,-0.5780
-0.0139,0.0443
-0.6881,-0.4034
-1.0000,-0.3932
-1.0000,-0.0949
-0.6881,-0.3991
0.1377,0.0810
-0.6881,-0.4142
-0.8440,-0.3297
-1.0000,-0.2753
-0.5321,-0.1238
0.3579,-0.0035
-1.0000,-0.2147
-0.6516,-0.2130
0.6535,0.5631
1.0000,0.8832
0.6535,0.5856
1.0000,0.5020
1.0000,0.7023
0.7713,0.0855
0.6535,0.3834
0.2287,0.1426
0.5426,0.6175
0.1505,0.7125
0.3069,-0.2722
1.0000,0.9110
0.6535,1.0000
-0.5000,0.2976
0.6466,0.2157
1.0000,-0.0594
-0.8391,-0.2317
0.0142,0.0287
-0.1751,-0.0641
-0.5016,-0.2229
-0.0158,0.2341
-0.6767,-0.2660
-0.3502,-0.1531
-0.3233,0.0920
0.5142,0.5320
0.3217,0.3863
0.1609,0.0518
-0.3391,-0.2075
-0.6783,-0.1525
0.0473,-0.0632
-0.2021,-0.4190
-1.0000,-0.3065
0.6194,0.2895
0.5012,0.3195
-1.0000,-0.4576
0.8097,-0.2941
0.3924,-0.0327
-0.1289,-0.2433
1.0000,0.2361
1.0000,0.3253
0.2518,0.2118
-1.0000,-0.3049
-0.0698,-0.2103
0.5603,0.1737
1.0000,0.4460
0.6275,-0.4470
-0.6275,-0.3569
1.0000,0.0026
0.1540,-0.2064
-0.2185,-0.4204
0.0000,-0.1545
-0.1819,-0.4883
-1.0000,-0.3633
0.5631,0.2654
-0.5631,-0.5376
-1.0000,-0.3289
0.5631,0.2033
0.5631,-0.2667
0.8696,0.6672
0.1304,-0.1515
0.0066,0.3372
0.1985,0.3372
0.0341,0.0002
-0.3696,-0.4953
0.1711,-0.4060
0.2542,0.1747
1.0000,0.8372
0.1645,-0.0758
0.2051,0.0915
-0.2051,0.0042
0.2542,-0.0758
0.5000,0.5758
-0.2051,-0.0871
0.5066,-0.2501
-0.5747,-0.0761
0.8696,0.7504
0.4036,-0.1625
-0.5747,0.0110
0.3015,0.0000
0.4593,0.5872
-0.4103,-0.0938
0.1711,-0.0758
-0.0341,-0.0758
0.8696,0.0047
-0.2458,-0.1584
-0.7051,-0.1630
0.8355,0.5758
0.8696,0.5867
-0.2392,-0.2567
-0.7392,-0.2457
0.8355,1.0000
-0.4036,-0.2611
0.0000,-0.2501
-0.2392,-0.1630
0.7949,0.5000
-0.4103,-0.1586
0.7392,0.4242
-0.0747,-0.1628
0.1711,-0.1628
0.8696,0.5872
0.6711,0.5867
-0.4443,-0.4133
0.1645,-0.2501
-0.4443,-0.4936
-0.4735,-0.1515
-0.4886,-0.0758
-0.5000,0.0047
-0.3813,-0.0758
-0.3018,-0.0758
0.6452,0.0069
0.6452,-0.0758
0.1072,-0.3191
0.3548,0.0047
0.5000,0.3416
0.3018,0.0113
-0.6717,-0.5760
-0.3018,0.1747
0.4886,0.0000
-0.1831,-0.0756
-0.1452,-0.0758
0.6566,0.0042
-0.6717,-0.1515
0.0380,-0.0758
-0.5000,0.0115
-0.5265,-0.3368
-1.0000,-0.4239
-0.3054,-0.1628
-0.3283,-0.1563
-0.7096,-0.3301
-0.5380,-0.2501
0.0265,0.4242
-0.8548,-0.3368
-0.1476,-0.0758
-0.8524,-0.4060
0.2585,-0.0758
0.8456,-0.0758
-0.3387,-0.4931
-0.5367,-0.7457
-0.5367,-0.5043
-0.5367,-0.1628
-0.1613,-0.1515
0.2347,-0.0758
-1.0000,-0.5753
-0.4061,-0.2457
-0.1408,-0.0758
-0.8524,-0.2435
0.0436,0.0047
-0.3387,-0.3368
-0.3387,-0.2501
-0.6544,-0.2435
-0.5367,-0.0758
-1.0000,-0.6628
-0.5367,-0.4039
-0.4061,-0.0758
-1.0000,-0.3258
0.2048,-0.0758
-1.0000,-0.3301
-0.5367,-0.1628
-1.0000,-0.4173
-1.0000,-0.4953
-1.0000,-0.3213
-0.2408,-0.0758
-0.4885,-0.1630
0.1112,-0.2501
-0.8001,-0.1630
0.7408,0.4195
0.7408,0.9173
-0.6590,-0.1697
0.0000,0.0000
-0.1590,-0.1563
0.2886,-0.2501
1.0000,0.0115
0.3111,0.5872
0.5409,0.4195
0.3111,-0.0758
-0.0294,-0.0758
0.0000,0.2658
0.1112,-0.0872
0.6296,0.5000
0.4297,-0.1630
0.6999,0.4239
0.1112,-0.0763
0.2408,0.0000
0.5703,0.2570
0.5703,0.5000
0.6112,0.5867
-0.4113,-0.2433
-0.8444,-0.4131
0.1873,-0.4131
0.6888,0.1694
-0.5476,-0.3215
-0.3444,-0.1515
-0.3444,-0.1630
0.7666,0.2502
-0.7666,-0.3303
-0.6254,-0.1563
0.9222,0.0827
1.0000,0.0805
-0.3444,-0.1563
0.7190,0.5827
0.5000,-0.1630
-0.8444,-0.5763
-0.1254,-0.2435
-0.9222,-0.4195
-0.7190,-0.4953
0.3127,-0.0872
-0.0778,0.0042
-0.5476,-0.1515
-0.3444,-0.0047
0.0937,-0.3258
0.4222,-0.0758
0.3171,0.0113
-0.3039,-0.0645
-0.1104,0.5113
1.0000,0.0805
0.3657,0.0108
-0.5000,0.2658
0.4514,0.0982
0.0486,-0.0758
0.0725,0.1672
0.4920,0.1790
-0.3039,-0.0758
0.5645,0.0115
0.6183,-0.1630
0.6210,-0.1625
0.8171,-0.1630
0.0698,-0.0758
0.0698,-0.2383
0.6210,-0.1515
-0.5000,0.0110
0.6210,0.0803
0.1988,-0.1630
-0.1343,-0.2498
0.8171,0.0047
