arousalScore,trueArousal
1.0739,1.0000
0.1780,0.0000
1.1442,1.0000
1.1442,1.0000
-0.1943,0.0000
-0.9212,-1.0000
1.1442,1.0000
1.1586,1.0000
1.1442,1.0000
1.1586,1.0000
-0.1526,-1.0000
0.2522,0.0000
-1.0162,-1.0000
1.1586,1.0000
1.1442,1.0000
1.0595,1.0000
-0.3181,0.0000
-1.1010,-1.0000
1.1586,1.0000
1.1442,1.0000
0.9874,1.0000
1.1442,1.0000
-0.8780,-1.0000
0.1838,0.0000
1.1586,1.0000
0.6051,1.0000
-0.7520,-1.0000
-0.9047,0.0000
-0.7665,-1.0000
1.1586,1.0000
1.1586,1.0000
0.9729,1.0000
-0.1814,-1.0000
-0.0720,0.0000
-0.6755,-1.0000
1.1442,1.0000
0.4419,0.0000
-1.0000,-1.0000
1.1586,1.0000
-0.5640,-1.0000
0.0062,0.0000
-0.6838,-1.0000
1.1586,1.0000
1.1586,1.0000
1.0018,-1.0000
0.7208,0.0000
0.7061,0.0000
1.1586,1.0000
1.1586,1.0000
1.1158,1.0000
1.0000,1.0000
0.5798,-1.0000
0.3219,0.0000
1.2896,1.0000
1.1448,1.0000
1.1738,1.0000
1.2896,1.0000
1.1158,1.0000
0.1252,-1.0000
-0.0815,0.0000
-1.2896,-1.0000
1.2896,1.0000
1.0492,1.0000
0.1252,-1.0000
0.0340,0.0000
-1.2606,-1.0000
1.2027,1.0000
1.1448,1.0000
0.4765,-1.0000
0.0694,0.0000
-1.2317,-1.0000
1.2027,1.0000
1.1448,1.0000
-1.2027,-1.0000
-0.0640,0.0000
-1.2606,-1.0000
-1.2896,-1.0000
1.2896,1.0000
0.6590,1.0000
0.7377,1.0000
1.1738,1.0000
-0.8650,-1.0000
0.0212,0.0000
1.2896,1.0000
1.2896,1.0000
-0.4562,-1.0000
0.4640,0.0000
-1.2606,-1.0000
1.2896,1.0000
1.2896,1.0000
-1.0940,-1.0000
0.6404,0.0000
-1.2027,-1.0000
1.2896,1.0000
1.1158,1.0000
1.2896,1.0000
-1.1448,-1.0000
-0.3606,0.0000
-1.1738,-1.0000
1.2896,1.0000
1.2896,1.0000
1.1448,1.0000
1.1448,1.0000
-0.8475,-1.0000
-0.0448,0.0000
-1.2317,-1.0000
1.2896,1.0000
1.5135,-1.0000
1.5777,1.0000
0.3017,0.0000
1.5777,1.0000
1.5777,-1.0000
1.5777,-1.0000
0.3216,-1.0000
1.5777,1.0000
1.5777,1.0000
-0.1428,-1.0000
0.9704,0.0000
1.5777,1.0000
1.2503,-1.0000
0.0583,-1.0000
0.5458,0.0000
-1.1893,-1.0000
1.5777,1.0000
1.5777,1.0000
1.3145,-1.0000
-0.5637,0.0000
-0.6490,-1.0000
1.5777,1.0000
1.5777,1.0000
1.5777,-1.0000
0.6019,0.0000
1.5777,1.0000
-0.1278,0.0000
-1.1134,-1.0000
1.4493,1.0000
1.5777,1.0000
1.5777,-1.0000
1.5777,1.0000
1.5777,1.0000
0.1668,-1.0000
0.3333,0.0000
-1.4229,-1.0000
1.5777,1.0000
1.2503,-1.0000
